Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,abs_logFC,significance_p,neg_log10_p,abs_logFC_scaled,neg_log10_p_scaled,literature_mentions_scaled,document_occurrences_scaled,cooccurrence_score_scaled,gene_evidence_score,rank
MX1,3.663,9.87e-40,0,0,0,MX dynamin like GTPase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.663,9.87e-40,39.00568284733036,0.2995674116798846,0.2287602286487912,0.0,0.0,0.0,0.11710353949817473,73
TMC5,3.501,3.1000000000000003e-43,0,0,0,transmembrane channel like 5,Cytoplasm,other,,,,,,,,,,,,,,,3.501,3.1000000000000003e-43,42.50863830616573,0.27036770007209804,0.25207066012263846,0.0,0.0,0.0,0.11709120504507922,74
FOSB,-4.455,2.74e-22,0,0,0,"FosB proto-oncogene, AP-1 transcription factor subunit",Nucleus,transcription regulator,,,,,,,,,,,,,,,4.455,2.74e-22,21.562249437179613,0.44232155731795236,0.11268282944853861,0.0,0.0,0.0,0.11663501882572513,75
ADRB2,-3.568,4.69e-41,0,0,0,adrenoceptor beta 2,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,,3.568,4.69e-41,40.32882715728492,0.28244412400865176,0.23756509788839641,0.0,0.0,0.0,0.11588009927382946,76
CDK5R1,2.713,1.61e-58,0,0,0,cyclin dependent kinase 5 regulatory subunit 1,Nucleus,kinase,,,,,,,,,,,,,,,2.713,1.61e-58,57.79317412396815,0.12833453496755592,0.3537816664364051,0.0,0.0,0.0,0.11411232360261245,77
CYP1A1,-4.622,3.76e-17,0,0,0,cytochrome P450 family 1 subfamily A member 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,4.622,3.76e-17,16.42481215507234,0.472422494592646,0.0784957319752624,0.0,0.0,0.0,0.11410843191234481,78
CMPK2,3.601,5.35e-38,0,0,0,cytidine/uridine monophosphate kinase 2,Cytoplasm,kinase,,,,,,,,,,,,,,,3.601,5.35e-38,37.27164621797877,0.28839221341023796,0.2172210747838202,0.0,0.0,0.0,0.11198371137800264,79
TK1,3.181,9.83e-47,0,0,0,thymidine kinase 1,Cytoplasm,kinase,,,,,,,,,,,,,,,3.181,9.83e-47,46.007446482167865,0.21268925739005046,0.2753534934858552,0.0,0.0,0.0,0.11137622484947389,80
TGM1,3.168,1.54e-45,0,0,0,transglutaminase 1,Plasma Membrane,enzyme,,,,,,,,,,,,,,,3.168,1.54e-45,44.81247927916354,0.2103460706560923,0.26740157933037567,0.0,0.0,0.0,0.10891960896381238,81
IL6,-4.328,4.54e-20,0,0,0,interleukin 6,Extracellular Space,cytokine,,,,,,,,,,,,,,,4.328,4.54e-20,19.342944147142894,0.41943042537851477,0.09791445328992557,0.0,0.0,0.0,0.10836469839818436,82
CNFN,2.992,3.37e-48,0,0,0,cornifelin,Cytoplasm,other,,,,,,,,,,,,,,,2.992,3.37e-48,47.47237009912866,0.17862292718096612,0.2851018337056701,0.0,0.0,0.0,0.10700004386261075,83
GGH,2.525,5.75e-57,0,0,0,gamma-glutamyl hydrolase,Cytoplasm,peptidase,,,,,,,,,,,,,,,2.525,5.75e-57,56.24033215531037,0.09444844989185291,0.3434482731844835,0.0,0.0,0.0,0.10475175827449146,84
CHI3L2,3.821,6.1799999999999995e-28,0,0,0,chitinase 3 like 2,Extracellular Space,enzyme,,,,,,,,,,,,,,,3.821,6.1799999999999995e-28,27.209011524911183,0.3280461427541456,0.1502592309306597,0.0,0.0,0.0,0.10317403628349406,85
JUN,-2.853,2.28e-47,0,0,0,"Jun proto-oncogene, AP-1 transcription factor subunit",Nucleus,transcription regulator,,,,,,,,,,,,,,,2.853,2.28e-47,46.64206515299955,0.15356885364095169,0.27957656603481773,0.0,0.0,0.0,0.10060791223689478,86
CXCL13,4.029,1.85e-21,0,0,0,C-X-C motif chemokine ligand 13,Extracellular Space,cytokine,,,,,,,,,,,,,,,4.029,1.85e-21,20.732828271596986,0.36553713049747655,0.10716344289895902,0.0,0.0,0.0,0.09989828682423507,87
TYMP,3.639,7.02e-30,0,0,0,thymidine phosphorylase,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.639,7.02e-30,29.153662887870194,0.29524152847873103,0.16319992140459763,0.0,0.0,0.0,0.0998482860468956,88
IFI44L,3.574,3.85e-31,0,0,0,interferon induced protein 44 like,Nucleus,other,,,,,,,,,,,,,,,3.574,3.85e-31,30.4145392704915,0.2835255948089401,0.17159042846627126,0.0,0.0,0.0,0.09960272607835582,89
RHCG,3.841,5.65e-25,0,0,0,Rh family C glycoprotein,Plasma Membrane,transporter,,,,,,,,,,,,,,,3.841,5.65e-25,24.247951552180563,0.33165104542177365,0.1305548451925557,0.0,0.0,0.0,0.09896892038249366,90
SLC7A11,3.037,2.26e-42,0,0,0,solute carrier family 7 member 11,Plasma Membrane,transporter,,,,,,,,,,,,,,,3.037,2.26e-42,41.6458915608526,0.18673395818312905,0.24632950836600354,0.0,0.0,0.0,0.0989291687281267,91
